Date,Price,Open,High,Low,Volume,ChangePct,PriceChange,Gain,Loss,RSI14,Year,PE,EPS,DividendYield,PB,DebtToEquity,RoAA,KSE_Open,KSE_High,KSE_Low,KSE_Close,KSE_Volume,KSE_Change,Target_90d,Return_90d
2021-05-26,34.2,33.29,34.69,33.29,2740000,2.98,0.990000000000002,0.990000000000002,0.0,42.40000000000005,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,329.76","46,856.27","46,300.66","46,812.31",305781184,511.65,33.0,-0.035087719298245695
2021-05-27,34.25,34.25,34.94,33.82,2530000,0.15,0.04999999999999716,0.04999999999999716,0.0,47.787610619469035,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,822.42","47,204.00","46,675.69","46,790.75",512102176,-21.56,33.5,-0.021897810218978103
2021-05-28,35.74,34.11,36.9,34.11,2260000,4.35,1.490000000000002,1.490000000000002,0.0,72.36614853195165,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,789.55","47,246.50","46,698.23","47,126.29",223453088,335.54,33.75,-0.05567991046446564
2021-05-31,35.65,36.0,36.25,35.25,7430000,-0.25,-0.09000000000000341,0.0,0.09000000000000341,77.88104089219325,2021,2.57,13.44,2.9,0.25,286.21,0.83,"47,150.49","47,979.68","47,126.29","47,896.34",409980128,770.05,33.25,-0.06732117812061707
2021-06-01,35.38,35.7,35.75,35.05,2420000,-0.76,-0.269999999999996,0.0,0.269999999999996,75.49549549549552,2021,2.57,13.44,2.9,0.25,286.21,0.83,"47,909.28","48,237.61","47,896.34","48,191.26",456326944,294.92,33.56,-0.05144149236856982
2021-06-02,37.4,35.5,37.4,35.18,1210000,5.71,2.019999999999996,2.019999999999996,0.0,81.74496644295301,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,220.25","48,286.46","47,960.46","48,126.90",361191712,-64.36,33.5,-0.10427807486631013
2021-06-03,36.0,37.45,37.45,36.0,1540000,-3.74,-1.3999999999999986,0.0,1.3999999999999986,67.75700934579439,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,144.09","48,434.40","48,010.32","48,093.53",253426912,-33.37,34.15,-0.05138888888888893
2021-06-04,37.0,36.41,36.99,35.32,2460000,2.78,1.0,1.0,0.0,73.83279044516831,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,122.50","48,426.53","48,093.53","48,211.70",316821952,118.17,35.0,-0.05405405405405406
2021-06-07,37.34,36.98,37.39,36.1,1870000,0.92,0.3400000000000034,0.3400000000000034,0.0,72.48858447488588,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,241.79","48,632.95","48,211.70","48,302.66",319941568,90.96,34.2,-0.08409212640599893
2021-06-08,36.0,36.35,36.8,36.0,398000,-3.59,-1.3400000000000034,0.0,1.3400000000000034,65.4639175257732,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,305.58","48,409.88","48,000.26","48,147.98",265071280,-154.68,34.6,-0.03888888888888885
2021-06-09,35.62,36.05,36.05,35.62,247500,-1.06,-0.38000000000000256,0.0,0.38000000000000256,64.27125506072875,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,161.22","48,311.92","47,725.94","47,777.62",296536704,-370.36,35.7,0.0022459292532286752
2021-06-10,37.25,35.97,37.25,35.15,1400000,4.58,1.6300000000000026,1.6300000000000026,0.0,68.78868258178602,2021,2.57,13.44,2.9,0.25,286.21,0.83,"47,783.17","48,287.52","47,777.62","48,251.49",296571808,473.87,35.18,-0.05557046979865773
2021-06-11,37.23,36.3,37.9,36.3,2450000,-0.05,-0.020000000000003126,0.0,0.020000000000003126,68.97163120567372,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,261.48","48,531.40","48,245.40","48,304.72",373933120,53.23,34.3,-0.07869997313994091
2021-06-14,37.35,38.99,38.99,37.15,2460000,0.32,0.12000000000000455,0.12000000000000455,0.0,68.58168761220824,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,374.78","48,981.82","48,304.72","48,726.08",507488768,421.36,34.0,-0.08969210174029454
2021-06-15,37.9,38.4,38.4,36.25,2620000,1.47,0.5499999999999972,0.5499999999999972,0.0,67.28971962616819,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,743.45","48,841.47","48,511.58","48,632.56",699381504,-93.52,33.6,-0.11345646437994716
2021-06-16,36.58,37.56,37.56,36.58,6100000,-3.48,-1.3200000000000003,0.0,1.3200000000000003,59.73266499582288,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,636.31","48,878.20","48,431.96","48,480.90",409175872,-151.66,33.49,-0.08447238928376152
2021-06-17,36.75,36.9,36.97,36.4,361000,0.46,0.1700000000000017,0.1700000000000017,0.0,54.74178403755867,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,478.62","48,544.65","48,155.84","48,157.63",290297120,-323.27,34.2,-0.06938775510204073
2021-06-18,36.5,36.53,36.93,36.36,457500,-0.68,-0.25,0.0,0.25,53.93154486586495,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,156.71","48,411.87","48,022.72","48,238.67",304366997,81.04,35.36,-0.031232876712328782
2021-06-21,36.5,36.3,36.59,36.0,437500,0.0,0.0,0.0,0.0,55.31309297912711,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,252.41","48,370.42","47,963.97","48,012.52",227219600,-226.15,36.49,-0.0002739726027396715
2021-06-22,35.6,36.03,36.33,35.6,1440000,-2.47,-0.8999999999999986,0.0,0.8999999999999986,40.4458598726115,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,030.29","48,154.56","47,931.78","47,987.14",208950080,-25.38,35.7,0.0028089887640449836
2021-06-23,35.49,35.66,35.85,35.3,944500,-0.31,-0.10999999999999943,0.0,0.10999999999999943,46.86346863468636,2021,2.57,13.44,2.9,0.25,286.21,0.83,"48,016.64","48,134.94","47,873.14","47,900.70",236828864,-86.44,36.1,0.017187940264863324
2021-06-24,35.75,35.27,36.0,35.27,1070000,0.73,0.259999999999998,0.259999999999998,0.0,41.54262516914751,2021,2.57,13.44,2.9,0.25,286.21,0.83,"47,910.63","48,118.23","47,897.39","47,962.54",149851424,61.84,36.0,0.006993006993006993
2021-06-25,35.57,36.35,36.35,35.55,106500,-0.5,-0.17999999999999972,0.0,0.17999999999999972,37.759336099585056,2021,2.57,13.44,2.9,0.25,286.21,0.83,"47,973.59","48,040.10","47,476.38","47,603.36",261314848,-359.18,35.75,0.005060444194545957
2021-06-28,34.65,35.56,35.57,34.6,718500,-2.59,-0.9200000000000017,0.0,0.9200000000000017,40.08810572687225,2021,2.57,13.44,2.9,0.25,286.21,0.83,"47,589.25","47,665.84","46,902.38","47,002.35",223689728,-601.01,34.9,0.007215007215007215
2021-06-29,34.75,35.35,35.35,34.75,428500,0.29,0.10000000000000142,0.10000000000000142,0.0,43.33843797856052,2021,2.57,13.44,2.9,0.25,286.21,0.83,"46,986.47","47,508.77","46,986.47","47,137.77",205314432,135.42,34.91,0.004604316546762492
2021-06-30,37.25,35.0,37.4,34.77,2200000,7.19,2.5,2.5,0.0,50.0,2021,2.57,13.44,2.9,0.25,286.21,0.83,"47,166.93","47,460.31","47,137.77","47,356.02",152506608,218.25,34.5,-0.0738255033557047
2021-07-01,37.0,36.45,37.35,36.1,572500,-0.67,-0.25,0.0,0.25,48.49279161205769,2021,2.57,13.44,2.9,0.25,286.21,0.83,"47,377.81","47,843.34","47,356.02","47,800.57",139993680,444.55,34.76,-0.060540540540540595
2021-07-02,36.5,37.43,37.43,36.17,654000,-1.35,-0.5,0.0,0.5,44.69413233458177,2021,2.57,13.44,2.9,0.25,286.21,0.83,"47,868.28","48,079.85","47,637.76","47,686.18",170568544,-114.39,33.76,-0.07506849315068499
