Date,Price,Open,High,Low,Volume,ChangePct,PriceChange,Gain,Loss,RSI14,Year,PE,EPS,DividendYield,PB,DebtToEquity,NetIncomeMargin,KSE_Open,KSE_High,KSE_Low,KSE_Close,KSE_Volume,KSE_Change,Target_90d,Return_90d
2021-03-03,65.72,65.4,65.73,65.25,916400,0.37,0.23999999999999488,0.23999999999999488,0.0,80.38793103448299,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,020.00","46,189.25","45,923.57","46,160.78",198943776,196.51,71.9,0.09403530127814984
2021-03-04,65.2,64.97,65.98,64.52,1450000,-0.79,-0.519999999999996,0.0,0.519999999999996,70.02096436058721,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,167.00","46,160.78","45,087.63","45,278.53",215942464,-882.25,72.48,0.11165644171779142
2021-03-05,65.78,65.0,65.89,65.0,719790,0.89,0.5799999999999983,0.5799999999999983,0.0,64.77832512315288,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,424.86","45,946.69","45,168.21","45,837.35",168080240,558.82,72.37,0.10018242626938284
2021-03-08,65.75,66.0,66.29,65.5,1310000,-0.05,-0.030000000000001137,0.0,0.030000000000001137,56.02409638554232,2021,4.82,15.8,21.69,2.16,56.35,15.94,"46,421.38","46,432.39","44,849.07","45,051.05",235630000,-786.3,73.89,0.12380228136882131
2021-03-09,64.9,65.9,66.03,64.9,1600000,-1.29,-0.8499999999999943,0.0,0.8499999999999943,50.68119891008191,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,018.77","45,129.55","43,946.30","44,222.91",231190144,-828.14,74.35,0.14560862865947594
2021-03-10,64.7,65.2,65.65,64.65,1780000,-0.31,-0.20000000000000284,0.0,0.20000000000000284,48.818897637795224,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,285.75","44,424.04","43,620.84","43,691.68",187412656,-531.23,74.3,0.1483771251931993
2021-03-11,64.0,65.0,65.1,63.75,1710000,-1.08,-0.7000000000000028,0.0,0.7000000000000028,36.90476190476194,2021,4.82,15.8,21.69,2.16,56.35,15.94,"43,655.79","43,891.00","42,688.20","42,779.76",195454192,-911.92,75.5,0.1796875
2021-03-12,64.47,64.01,64.74,63.75,3280000,0.73,0.46999999999999886,0.46999999999999886,0.0,44.20131291028444,2021,4.82,15.8,21.69,2.16,56.35,15.94,"42,880.27","43,986.18","42,779.76","43,788.08",169440416,"1,008.32",76.1,0.18039398169691323
2021-03-15,65.2,65.1,65.45,64.9,2100000,1.13,0.730000000000004,0.730000000000004,0.0,53.921568627451045,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,288.74","44,839.19","43,788.08","44,766.59",239525872,978.51,76.95,0.18021472392638035
2021-03-16,66.39,65.3,66.99,64.91,3430000,1.83,1.1899999999999977,1.1899999999999977,0.0,62.83891547049442,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,869.17","44,910.93","44,545.43","44,857.06",168350848,90.47,77.3,0.164331977707486
2021-03-17,67.54,66.8,68.09,66.8,6920000,1.73,1.1500000000000057,1.1500000000000057,0.0,66.80911680911682,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,203.19","45,540.63","44,857.06","45,450.31",262197536,593.25,77.99,0.15472312703583044
2021-03-18,67.0,67.5,67.85,66.8,4570000,-0.8,-0.5400000000000063,0.0,0.5400000000000063,62.20159151193638,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,519.33","45,612.95","44,641.49","44,724.09",299368672,-726.22,77.4,0.155223880597015
2021-03-19,62.59,63.0,63.45,62.4,3480000,-6.58,-4.409999999999997,0.0,4.409999999999997,39.27973199329982,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,768.18","45,172.33","44,393.28","44,901.31",288732416,177.22,77.38,0.23629972839111665
2021-03-22,63.3,62.4,63.58,62.0,1290000,1.13,0.7099999999999937,0.7099999999999937,0.0,41.15259740259737,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,918.72","45,465.13","44,735.59","45,407.33",277038048,506.02,77.2,0.21958925750394956
2021-03-24,63.02,63.06,63.42,63.0,1350000,-0.44,-0.27999999999999403,0.0,0.27999999999999403,39.07766990291263,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,390.73","45,593.61","45,258.99","45,544.19",271922368,136.86,77.4,0.22818152967311967
2021-03-25,63.0,63.05,63.34,62.95,1240000,-0.03,-0.020000000000003126,0.0,0.020000000000003126,40.725126475548045,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,706.58","46,000.11","45,544.20","45,726.16",292291360,181.97,76.9,0.2206349206349207
2021-03-26,62.59,63.14,63.14,62.51,1640000,-0.65,-0.4099999999999966,0.0,0.4099999999999966,36.35585970915312,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,705.66","45,757.56","45,436.91","45,521.63",320731840,-204.53,76.0,0.21425147787186444
2021-03-29,62.29,62.51,62.95,62.1,1650000,-0.48,-0.30000000000000426,0.0,0.30000000000000426,35.53511705685618,2021,4.82,15.8,21.69,2.16,56.35,15.94,"45,450.18","45,521.63","44,315.43","44,431.80",315906656,"-1,089.83",76.18,0.2229892438593676
2021-03-30,62.55,62.5,62.56,62.05,1110000,0.42,0.259999999999998,0.259999999999998,0.0,39.66578715919082,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,404.48","44,808.63","44,199.26","44,491.03",174584784,59.23,77.0,0.23101518784972028
2021-03-31,62.45,62.51,62.94,62.25,1570000,-0.16,-0.09999999999999432,0.0,0.09999999999999432,40.017746228926356,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,778.36","45,133.25","44,477.90","44,587.85",252331488,96.82,77.65,0.24339471577261812
2021-04-01,62.49,62.25,62.9,62.0,1010000,0.06,0.03999999999999915,0.03999999999999915,0.0,42.884071630537235,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,679.04","44,877.46","44,334.22","44,428.10",188011216,-159.75,77.41,0.23875820131220987
2021-04-02,62.55,62.69,62.7,62.03,525750,0.1,0.05999999999999517,0.05999999999999517,0.0,40.58823529411763,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,573.64","44,609.28","44,197.90","44,300.95",140304480,-127.15,76.7,0.22621902478017597
2021-04-05,62.1,62.9,62.9,61.99,1160000,-0.72,-0.44999999999999574,0.0,0.44999999999999574,34.37499999999996,2021,4.82,15.8,21.69,2.16,56.35,15.94,"44,420.14","44,431.24","43,471.19","43,548.21",138704432,-752.74,77.19,0.24299516908212554
