Date,Price,Open,High,Low,Volume,ChangePct,PriceChange,Gain,Loss,RSI14,Year,PE,EPS,DividendYield,PB,DebtToEquity,NetIncomeMargin,KSE_Open,KSE_High,KSE_Low,KSE_Close,KSE_Volume,KSE_Change,Target_90d,Return_90d
2024-05-13,302.56,298.33,304.44,297.9,883980,1.68,5.0,5.0,0.0,45.36898395721927,2024,4.68,64.37,37.46,1.61,0.33,42.51,"73,315.02","74,114.22","73,109.76","73,799.11",308961397,713.61,419.0,0.3848492860920148
2024-05-14,309.44,302.22,314.78,302.22,1220000,2.28,6.8799999999999955,6.8799999999999955,0.0,49.664958612534505,2024,4.68,64.37,37.46,1.61,0.33,42.51,"74,022.18","74,575.30","73,977.00","74,531.19",257367216,732.08,409.0,0.3217425025853154
2024-05-15,315.11,311.11,317.0,311.11,1580000,1.83,5.670000000000016,5.670000000000016,0.0,54.089520043142194,2024,4.68,64.37,37.46,1.61,0.33,42.51,"74,779.84","75,115.32","74,440.87","74,663.98",251456212,132.79,426.8,0.35444765320046967
2024-05-16,311.33,314.44,316.5,310.56,261250,-1.2,-3.7800000000000296,0.0,3.7800000000000296,46.7779996369577,2024,4.68,64.37,37.46,1.61,0.33,42.51,"74,744.65","75,029.03","74,450.25","74,930.69",170467012,266.71,447.2,0.4364179488003084
2024-05-17,310.89,312.22,314.44,305.56,149290,-0.14,-0.4399999999999977,0.0,0.4399999999999977,47.7399036680252,2024,4.68,64.37,37.46,1.61,0.33,42.51,"74,981.29","75,401.11","74,947.71","75,342.34",188724737,411.65,436.9,0.4053202097204799
2024-05-20,312.22,310.56,314.0,309.44,267600,0.43,1.330000000000041,1.330000000000041,0.0,55.08130081300811,2024,4.68,64.37,37.46,1.61,0.33,42.51,"75,454.97","75,618.49","74,734.24","75,084.00",141358802,-258.34,417.97,0.3387034783165716
2024-05-21,311.11,312.78,312.78,310.0,201040,-0.36,-1.1100000000000136,0.0,1.1100000000000136,58.65800865800863,2024,4.68,64.37,37.46,1.61,0.33,42.51,"75,158.68","75,482.46","74,958.09","75,206.77",159509646,122.77,415.4,0.3352190543537654
2024-05-22,308.89,311.11,313.89,305.56,718170,-0.71,-2.2200000000000273,0.0,2.2200000000000273,59.81019642463027,2024,4.68,64.37,37.46,1.61,0.33,42.51,"75,246.33","75,513.89","74,835.48","74,956.67",183367088,-250.1,420.5,0.3613260383955454
2024-05-23,309.67,310.0,314.44,307.78,458620,0.25,0.7800000000000296,0.7800000000000296,0.0,52.60281103591878,2024,4.68,64.37,37.46,1.61,0.33,42.51,"74,982.16","75,284.74","74,726.06","75,114.47",336883972,157.8,412.45,0.3319017018116058
2024-05-24,315.56,310.0,317.22,306.78,3430000,1.9,5.889999999999986,5.889999999999986,0.0,61.84834123222745,2024,4.68,64.37,37.46,1.61,0.33,42.51,"75,266.61","76,248.75","75,263.05","75,983.03",310418114,868.56,410.0,0.29927747496514134
