Date,Price,Open,High,Low,Volume,ChangePct,PriceChange,Gain,Loss,RSI14,Year,PE,EPS,DividendYield,PB,DebtToEquity,NetIncomeMargin,KSE_Open,KSE_High,KSE_Low,KSE_Close,KSE_Volume,KSE_Change,Target_90d,Return_90d
2021-03-02,46.9,46.91,47.43,46.51,3680000,-0.11,-0.05000000000000426,0.0,0.05000000000000426,58.414766558089,2021,13.48,3.49,0.0,1.35,39.81,10.74,"45,633.00","46,077.92","45,535.87","45,964.27",203497232,370.84,46.0,-0.019189765458422145
2021-03-03,47.59,46.99,47.6,46.8,5840000,1.47,0.6900000000000048,0.6900000000000048,0.0,68.58757062146891,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,020.00","46,189.25","45,923.57","46,160.78",198943776,196.51,46.51,-0.022693843244379182
2021-03-04,45.88,45.1,46.72,45.01,12060000,-3.59,-1.7100000000000009,0.0,1.7100000000000009,53.47150259067357,2021,13.48,3.49,0.0,1.35,39.81,10.74,"45,167.00","46,160.78","45,087.63","45,278.53",215942464,-882.25,46.56,0.014821272885789008
2021-03-05,46.4,45.99,46.55,45.29,5160000,1.13,0.519999999999996,0.519999999999996,0.0,44.08468244084682,2021,13.48,3.49,0.0,1.35,39.81,10.74,"45,424.86","45,946.69","45,168.21","45,837.35",168080240,558.82,45.67,-0.01573275862068959
2021-03-08,44.0,47.1,47.18,44.0,8540000,-5.17,-2.3999999999999986,0.0,2.3999999999999986,27.54994742376448,2021,13.48,3.49,0.0,1.35,39.81,10.74,"46,421.38","46,432.39","44,849.07","45,051.05",235630000,-786.3,45.01,0.022954545454545408
2021-03-09,43.0,44.25,44.58,41.5,10320000,-2.27,-1.0,0.0,1.0,25.095785440613042,2021,13.48,3.49,0.0,1.35,39.81,10.74,"45,018.77","45,129.55","43,946.30","44,222.91",231190144,-828.14,44.25,0.029069767441860465
2021-03-10,42.5,43.12,43.67,42.0,6050000,-1.16,-0.5,0.0,0.5,25.58593750000003,2021,13.48,3.49,0.0,1.35,39.81,10.74,"44,285.75","44,424.04","43,620.84","43,691.68",187412656,-531.23,43.5,0.023529411764705882
2021-03-11,42.35,42.4,43.65,41.75,8490000,-0.35,-0.14999999999999858,0.0,0.14999999999999858,26.358148893360195,2021,13.48,3.49,0.0,1.35,39.81,10.74,"43,655.79","43,891.00","42,688.20","42,779.76",195454192,-911.92,43.5,0.027154663518299847
2021-03-12,44.68,42.5,45.19,42.5,15760000,5.5,2.3299999999999983,2.3299999999999983,0.0,41.52684563758388,2021,13.48,3.49,0.0,1.35,39.81,10.74,"42,880.27","43,986.18","42,779.76","43,788.08",169440416,"1,008.32",43.17,-0.033795881826320456
2021-03-15,47.55,45.5,47.85,44.75,16940000,6.42,2.8699999999999974,2.8699999999999974,0.0,52.873563218390785,2021,13.48,3.49,0.0,1.35,39.81,10.74,"44,288.74","44,839.19","43,788.08","44,766.59",239525872,978.51,44.0,-0.07465825446897996
